route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1197630,2773293,10027732930094711,101,101,0,
1197630,2773294,10027732940094711,101,101,0,
1197630,2773295,10027732950094711,101,101,0,
1197630,2773296,10027732960094711,101,101,0,
1197630,2773297,10027732970094711,101,101,0,
1197630,2773298,10027732980094711,101,101,0,
1197630,2773299,10027732990094711,101,101,0,
1197630,2773300,10027733000094711,101,101,0,
1197630,2773301,10027733010094711,101,101,0,
1197630,2773302,10027733020094711,101,101,0,
1197630,2773303,10027733030094711,101,101,0,
1197630,2773304,10027733040094711,101,101,0,
1197630,2773305,10027733050094711,101,101,0,
1197630,2773293,10127732930094711,101,101,0,
1197630,2773294,10127732940094711,101,101,0,
1197630,2773295,10127732950094711,101,101,0,
1197630,2773296,10127732960094711,101,101,0,
1197630,2773297,10127732970094711,101,101,0,
1197630,2773298,10127732980094711,101,101,0,
1197630,2773299,10127732990094711,101,101,0,
1197630,2773300,10127733000094711,101,101,0,
1197630,2773301,10127733010094711,101,101,0,
1197630,2773302,10127733020094711,101,101,0,
1197630,2773303,10127733030094711,101,101,0,
1197630,2773304,10127733040094711,101,101,0,
1197630,2773305,10127733050094711,101,101,0,
1197630,2773293,10227732930094711,101,101,0,
1197630,2773294,10227732940094711,101,101,0,
1197630,2773295,10227732950094711,101,101,0,
1197630,2773296,10227732960094711,101,101,0,
1197630,2773297,10227732970094711,101,101,0,
1197630,2773298,10227732980094711,101,101,0,
1197630,2773299,10227732990094711,101,101,0,
1197630,2773300,10227733000094711,101,101,0,
1197630,2773301,10227733010094711,101,101,0,
1197630,2773302,10227733020094711,101,101,0,
1197630,2773303,10227733030094711,101,101,0,
1197630,2773304,10227733040094711,101,101,0,
1197630,2773305,10227733050094711,101,101,0,
1197630,2773293,1027732930094711,101,101,0,
1197630,2773294,1027732940094711,101,101,0,
1197630,2773295,1027732950094711,101,101,0,
1197630,2773296,1027732960094711,101,101,0,
1197630,2773297,1027732970094711,101,101,0,
1197630,2773298,1027732980094711,101,101,0,
1197630,2773299,1027732990094711,101,101,0,
1197630,2773300,1027733000094711,101,101,0,
1197630,2773301,1027733010094711,101,101,0,
1197630,2773302,1027733020094711,101,101,0,
1197630,2773303,1027733030094711,101,101,0,
1197630,2773304,1027733040094711,101,101,0,
1197630,2773305,1027733050094711,101,101,0,
1197630,2773293,10327732930094711,101,101,0,
1197630,2773294,10327732940094711,101,101,0,
1197630,2773295,10327732950094711,101,101,0,
1197630,2773296,10327732960094711,101,101,0,
1197630,2773297,10327732970094711,101,101,0,
1197630,2773298,10327732980094711,101,101,0,
1197630,2773299,10327732990094711,101,101,0,
1197630,2773300,10327733000094711,101,101,0,
1197630,2773301,10327733010094711,101,101,0,
1197630,2773302,10327733020094711,101,101,0,
1197630,2773303,10327733030094711,101,101,0,
1197630,2773304,10327733040094711,101,101,0,
1197630,2773305,10327733050094711,101,101,0,
1197630,2773293,10427732930094711,101,101,0,
1197630,2773294,10427732940094711,101,101,0,
1197630,2773295,10427732950094711,101,101,0,
1197630,2773296,10427732960094711,101,101,0,
1197630,2773297,10427732970094711,101,101,0,
1197630,2773298,10427732980094711,101,101,0,
1197630,2773299,10427732990094711,101,101,0,
1197630,2773300,10427733000094711,101,101,0,
1197630,2773301,10427733010094711,101,101,0,
1197630,2773302,10427733020094711,101,101,0,
1197630,2773303,10427733030094711,101,101,0,
1197630,2773304,10427733040094711,101,101,0,
1197630,2773305,10427733050094711,101,101,0,
1197630,2773293,10527732930094711,101,101,0,
1197630,2773294,10527732940094711,101,101,0,
1197630,2773295,10527732950094711,101,101,0,
