service_id,date,exception_type
2773600,20190608,1
2773600,20190609,1
2773600,20190615,1
2773600,20190622,1
2773600,20190629,1
2773600,20190706,1
2773600,20190713,1
2773600,20190714,1
2773600,20190720,1
2773600,20190727,1
2773600,20190803,1
2773601,20190209,1
2773601,20190216,1
2773601,20190223,1
2773601,20190302,1
2773601,20190309,1
2773601,20190316,1
2773601,20190323,1
2773601,20190330,1
2773601,20190406,1
2773601,20190413,1
2773601,20190420,1
2773601,20190427,1
2773601,20190504,1
2773601,20190511,1
2773601,20190518,1
2773601,20190525,1
12773600,20190602,1
12773600,20190609,1
12773600,20190610,1
12773600,20190616,1
12773600,20190623,1
12773600,20190630,1
12773600,20190707,1
12773600,20190714,1
12773600,20190715,1
12773600,20190721,1
12773600,20190728,1
12773600,20190804,1
12773599,20190702,1
12773599,20190703,1
12773599,20190704,1
12773599,20190705,1
12773599,20190709,1
12773599,20190710,1
12773599,20190711,1
12773599,20190712,1
12773599,20190716,1
12773599,20190717,1
12773599,20190718,1
12773599,20190719,1
12773599,20190723,1
12773599,20190724,1
12773599,20190725,1
12773599,20190726,1
12773599,20190730,1
12773599,20190731,1
12773599,20190801,1
12773602,20190601,1
12773602,20190706,1
12773602,20190713,1
12773602,20190720,1
12773602,20190727,1
12773601,20190210,1
12773601,20190217,1
12773601,20190224,1
12773601,20190303,1
12773601,20190310,1
12773601,20190317,1
12773601,20190324,1
12773601,20190331,1
12773601,20190407,1
12773601,20190414,1
12773601,20190421,1
12773601,20190428,1
12773601,20190505,1
12773601,20190512,1
12773601,20190519,1
12773601,20190526,1
12773597,20190212,1
12773597,20190213,1
12773597,20190214,1
12773597,20190215,1
12773597,20190219,1
12773597,20190220,1
12773597,20190221,1
12773597,20190222,1
12773597,20190416,1
12773597,20190417,1
12773597,20190418,1
12773597,20190419,1
12773597,20190424,1
12773597,20190425,1
12773597,20190426,1
12773597,20190503,1
12773597,20190507,1
12773597,20190510,1
12773597,20190514,1
12773597,20190515,1
12773597,20190516,1
12773597,20190517,1
12773597,20190521,1
12773597,20190522,1
12773597,20190523,1
12773597,20190524,1
12773597,20190528,1
12773597,20190529,1
12773597,20190604,1
12773597,20190605,1
12773597,20190606,1
12773597,20190607,1
12773597,20190612,1
12773597,20190613,1
12773597,20190614,1
12773597,20190618,1
12773597,20190619,1
12773597,20190620,1
12773597,20190621,1
12773597,20190625,1
12773597,20190626,1
12773597,20190627,1
12773597,20190628,1
12773604,20190216,1
12773604,20190223,1
12773604,20190420,1
12773604,20190427,1
12773604,20190504,1
12773604,20190508,1
12773604,20190511,1
12773604,20190518,1
12773604,20190525,1
12773604,20190530,1
12773604,20190608,1
12773604,20190615,1
12773604,20190622,1
12773604,20190629,1
12773603,20190803,1
12773598,20190206,1
12773598,20190207,1
12773598,20190208,1
12773598,20190226,1
12773598,20190227,1
12773598,20190228,1
12773598,20190301,1
12773598,20190305,1
12773598,20190306,1
12773598,20190307,1
12773598,20190308,1
12773598,20190312,1
12773598,20190313,1
12773598,20190314,1
12773598,20190315,1
12773598,20190319,1
12773598,20190320,1
12773598,20190321,1
12773598,20190322,1
12773598,20190326,1
12773598,20190327,1
12773598,20190328,1
12773598,20190329,1
12773598,20190402,1
12773598,20190403,1
12773598,20190404,1
12773598,20190405,1
12773598,20190409,1
12773598,20190410,1
12773598,20190411,1
12773598,20190412,1
12773598,20190430,1
12773595,20190603,1
12773595,20190611,1
12773595,20190617,1
12773595,20190624,1
12773595,20190701,1
12773595,20190708,1
12773595,20190722,1
12773595,20190729,1
12773605,20190209,1
12773605,20190302,1
12773605,20190309,1
12773605,20190316,1
12773605,20190323,1
12773605,20190330,1
12773605,20190406,1
12773605,20190413,1
12773605,20190501,1
12773596,20190802,1
12773593,20190422,1
12773594,20190211,1
12773594,20190218,1
12773594,20190225,1
12773594,20190304,1
12773594,20190311,1
12773594,20190318,1
12773594,20190325,1
12773594,20190401,1
12773594,20190408,1
12773594,20190415,1
12773594,20190423,1
12773594,20190429,1
12773594,20190502,1
12773594,20190506,1
12773594,20190509,1
12773594,20190513,1
12773594,20190520,1
12773594,20190527,1
12773594,20190531,1
2773598,20190205,1
2773598,20190206,1
2773598,20190207,1
2773598,20190225,1
2773598,20190226,1
2773598,20190227,1
2773598,20190228,1
2773598,20190304,1
2773598,20190305,1
2773598,20190306,1
2773598,20190307,1
2773598,20190311,1
2773598,20190312,1
2773598,20190313,1
2773598,20190314,1
2773598,20190318,1
2773598,20190319,1
2773598,20190320,1
2773598,20190321,1
2773598,20190325,1
2773598,20190326,1
2773598,20190327,1
2773598,20190328,1
2773598,20190401,1
2773598,20190402,1
2773598,20190403,1
2773598,20190404,1
2773598,20190408,1
2773598,20190409,1
2773598,20190410,1
2773598,20190411,1
2773598,20190429,1
2773599,20190701,1
2773599,20190702,1
2773599,20190703,1
2773599,20190704,1
2773599,20190708,1
2773599,20190709,1
2773599,20190710,1
2773599,20190711,1
2773599,20190715,1
2773599,20190716,1
2773599,20190717,1
2773599,20190718,1
2773599,20190722,1
2773599,20190723,1
2773599,20190724,1
2773599,20190725,1
2773599,20190729,1
2773599,20190730,1
2773599,20190731,1
